"Notes"	"County"	"County Code"	"Infant Age Groups"	"Infant Age Groups Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"< 1 day"	"1d"	35	11595	3.0
	"Baldwin County, AL"	"01003"	"< 1 day"	"1d"	78	37428	2.1
	"Barbour County, AL"	"01005"	"< 1 day"	"1d"	21	6041	3.5
	"Bibb County, AL"	"01007"	"< 1 day"	"1d"	19	4820	3.9 (Unreliable)
	"Blount County, AL"	"01009"	"< 1 day"	"1d"	23	12311	1.9
	"Bullock County, AL"	"01011"	"< 1 day"	"1d"	10	2813	3.6 (Unreliable)
	"Butler County, AL"	"01013"	"< 1 day"	"1d"	19	4839	3.9 (Unreliable)
	"Calhoun County, AL"	"01015"	"< 1 day"	"1d"	66	26108	2.5
	"Chambers County, AL"	"01017"	"< 1 day"	"1d"	17	7538	2.3 (Unreliable)
	"Chilton County, AL"	"01021"	"< 1 day"	"1d"	38	9983	3.8
	"Clarke County, AL"	"01025"	"< 1 day"	"1d"	22	5823	3.8
	"Coffee County, AL"	"01031"	"< 1 day"	"1d"	22	11149	2.0
	"Colbert County, AL"	"01033"	"< 1 day"	"1d"	25	11243	2.2
	"Conecuh County, AL"	"01035"	"< 1 day"	"1d"	14	2864	4.9 (Unreliable)
	"Coosa County, AL"	"01037"	"< 1 day"	"1d"	10	1898	5.3 (Unreliable)
	"Covington County, AL"	"01039"	"< 1 day"	"1d"	15	8129	1.8 (Unreliable)
	"Cullman County, AL"	"01043"	"< 1 day"	"1d"	38	17800	2.1
	"Dale County, AL"	"01045"	"< 1 day"	"1d"	22	13113	1.7
	"Dallas County, AL"	"01047"	"< 1 day"	"1d"	25	11725	2.1
	"DeKalb County, AL"	"01049"	"< 1 day"	"1d"	36	16639	2.2
	"Elmore County, AL"	"01051"	"< 1 day"	"1d"	39	17444	2.2
	"Escambia County, AL"	"01053"	"< 1 day"	"1d"	35	8693	4.0
	"Etowah County, AL"	"01055"	"< 1 day"	"1d"	65	22422	2.9
	"Franklin County, AL"	"01059"	"< 1 day"	"1d"	20	7919	2.5
	"Geneva County, AL"	"01061"	"< 1 day"	"1d"	11	5472	2.0 (Unreliable)
	"Hale County, AL"	"01065"	"< 1 day"	"1d"	13	3889	3.3 (Unreliable)
	"Houston County, AL"	"01069"	"< 1 day"	"1d"	68	23709	2.9
	"Jackson County, AL"	"01071"	"< 1 day"	"1d"	25	10890	2.3
	"Jefferson County, AL"	"01073"	"< 1 day"	"1d"	718	165537	4.3
	"Lauderdale County, AL"	"01077"	"< 1 day"	"1d"	37	17391	2.1
	"Lawrence County, AL"	"01079"	"< 1 day"	"1d"	10	7070	1.4 (Unreliable)
	"Lee County, AL"	"01081"	"< 1 day"	"1d"	62	29111	2.1
	"Limestone County, AL"	"01083"	"< 1 day"	"1d"	24	17016	1.4
	"Macon County, AL"	"01087"	"< 1 day"	"1d"	20	4243	4.7
	"Madison County, AL"	"01089"	"< 1 day"	"1d"	105	71614	1.5
	"Marengo County, AL"	"01091"	"< 1 day"	"1d"	17	4966	3.4 (Unreliable)
	"Marion County, AL"	"01093"	"< 1 day"	"1d"	23	6042	3.8
	"Marshall County, AL"	"01095"	"< 1 day"	"1d"	54	24328	2.2
	"Mobile County, AL"	"01097"	"< 1 day"	"1d"	358	105618	3.4
	"Monroe County, AL"	"01099"	"< 1 day"	"1d"	16	5034	3.2 (Unreliable)
	"Montgomery County, AL"	"01101"	"< 1 day"	"1d"	234	59529	3.9
	"Morgan County, AL"	"01103"	"< 1 day"	"1d"	43	26839	1.6
	"Pickens County, AL"	"01107"	"< 1 day"	"1d"	28	4422	6.3
	"Pike County, AL"	"01109"	"< 1 day"	"1d"	29	7196	4.0
	"Russell County, AL"	"01113"	"< 1 day"	"1d"	49	13523	3.6
	"St. Clair County, AL"	"01115"	"< 1 day"	"1d"	47	17749	2.6
	"Shelby County, AL"	"01117"	"< 1 day"	"1d"	98	44236	2.2
	"Sumter County, AL"	"01119"	"< 1 day"	"1d"	20	2979	6.7
	"Talladega County, AL"	"01121"	"< 1 day"	"1d"	70	17565	4.0
	"Tallapoosa County, AL"	"01123"	"< 1 day"	"1d"	23	8833	2.6
	"Tuscaloosa County, AL"	"01125"	"< 1 day"	"1d"	229	42917	5.3
	"Walker County, AL"	"01127"	"< 1 day"	"1d"	39	15327	2.5
	"Washington County, AL"	"01129"	"< 1 day"	"1d"	11	3503	3.1 (Unreliable)
	"Winston County, AL"	"01133"	"< 1 day"	"1d"	11	4768	2.3 (Unreliable)
	"Anchorage Borough, AK"	"02020"	"< 1 day"	"1d"	100	80718	1.2
	"Bethel Census Area, AK"	"02050"	"< 1 day"	"1d"	37	7745	4.8
	"Fairbanks North Star Borough, AK"	"02090"	"< 1 day"	"1d"	43	29241	1.5
	"Juneau Borough, AK"	"02110"	"< 1 day"	"1d"	10	7095	1.4 (Unreliable)
	"Kenai Peninsula Borough, AK"	"02122"	"< 1 day"	"1d"	10	12103	0.8 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	"< 1 day"	"1d"	18	21091	0.9 (Unreliable)
	"Wade Hampton Census Area, AK"	"02270"	"< 1 day"	"1d"	13	4124	3.2 (Unreliable)
	"Apache County, AZ"	"04001"	"< 1 day"	"1d"	46	21901	2.1
	"Cochise County, AZ"	"04003"	"< 1 day"	"1d"	90	30976	2.9
	"Coconino County, AZ"	"04005"	"< 1 day"	"1d"	59	33381	1.8
	"Gila County, AZ"	"04007"	"< 1 day"	"1d"	30	11791	2.5
	"Graham County, AZ"	"04009"	"< 1 day"	"1d"	22	9621	2.3
	"La Paz County, AZ"	"04012"	"< 1 day"	"1d"	10	3808	2.6 (Unreliable)
	"Maricopa County, AZ"	"04013"	"< 1 day"	"1d"	2506	1033990	2.4
	"Mohave County, AZ"	"04015"	"< 1 day"	"1d"	95	38346	2.5
	"Navajo County, AZ"	"04017"	"< 1 day"	"1d"	60	31189	1.9
	"Pima County, AZ"	"04019"	"< 1 day"	"1d"	513	224871	2.3
	"Pinal County, AZ"	"04021"	"< 1 day"	"1d"	179	73028	2.5
	"Santa Cruz County, AZ"	"04023"	"< 1 day"	"1d"	30	13116	2.3
	"Yavapai County, AZ"	"04025"	"< 1 day"	"1d"	70	35096	2.0
	"Yuma County, AZ"	"04027"	"< 1 day"	"1d"	173	56876	3.0
	"Ashley County, AR"	"05003"	"< 1 day"	"1d"	12	5167	2.3 (Unreliable)
	"Baxter County, AR"	"05005"	"< 1 day"	"1d"	15	6532	2.3 (Unreliable)
	"Benton County, AR"	"05007"	"< 1 day"	"1d"	122	55172	2.2
	"Boone County, AR"	"05009"	"< 1 day"	"1d"	19	7883	2.4 (Unreliable)
